RONNINA	president	#2GPJC28L0
QLS|Lorysan05	member	#2Y0LCVLCL
icga90	member	#8QYQG9Q8
QLS|Axel	vicePresident	#80GRVC9
Stella	member	#Y9U9YRC0
JACK	vicePresident	#L8RG2988
D4ST3R	member	#Y9JPVUL
QLS|TUTTURUTTU	member	#2PJPCU
sᴘᴏᴋ シ	member	#2P0G0RJ
QLS|Øblivion	member	#8YJ9VC2P
Klaus	member	#JQRLRC9
⚡QLS|FULMINE ⚡	senior	#20U2YUYLR
ErMik99	senior	#99R0VGQC
☘QLS|Rune☘	member	#9GRPLV9PG
ϟ Soldans ϟ	member	#82QJJPQ8G
KTM|Rick	member	#QG2VUVPR
Geordie	member	#222G8R0U2
QLS|Giacomo™️	member	#YULGCV0
CassoNero	member	#U09QQR0C
QLS | Andronico	member	#228QJVUV9
QLS|7JRL!	member	#9JUJRYC0
QLS|Konrad 17	member	#8CPYY22G
CMP	member	#GUJPJLU
D4rK_Kn1gTh	member	#2U2JLLRQJ
QLS|✈Mattew✈	vicePresident	#PGUVLVGP
Yuno Gasai	member	#20CRVY9UY
⚙️Imesh⚙️	member	#8YP9UYCP
kurika	member	#2QLU9PC0P
Bea	member	#RUJVVLR
Fab	member	#YVVUCJJQ
Ðαη✨	member	#QCLR22GQ
FILO_OFFICIAL36	member	#2PQ99JYQV
MOWGLI	member	#22R8UPUUG
Aurora	member	#QL9URL2
⚡Dark⚡	member	#LV9R0Q9U
✈️Th3Scorpion_✈	member	#2CYPG980
UTF_Slayer	member	#Y2LJ9U29
QLS|T-REX11❄️	member	#9QRPY8RJ
GX Gesù Cristo	member	#8LYYRUJJ9
QLS | Danitoo	member	#VCYY0R98
samubiaso	member	#GCG0JPL
QLS | ROBIN ⚽	member	#9J9RYU22
-SHADOW-	member	#2GQLCQVR
QLS|⚡FRA12⚡|	member	#9RVQVYGC9
DonEniMrakMusic	member	#9JL9UR2Y
I Wasted Yøu™	member	#20CYUV8Y0
Tucci0	member	#2GC2Q8PC
▪รђค๔๏ฬ⁸⁷▪	member	#9YJCRGPL
mr.denka	member	#2JQ8URPC
_Faze_shpalman_	member	#908QJ8JU2
Gianpaolo	member	#22J9UY9VL
Kaneki	member	#V9JVCJCL
SuperLuca	member	#2YV0UC0JU
cicciobomba	member	#UPV8YCGV
GX_RiOvAlE11	member	#2Y0C9RRL0
QLS | Mдs̸tэяツ	member	#820CVL8C
DHN-01	member	#2VY9Y090P
GX JAISING	member	#GRY0Y20G
QLS⚡GoldArrow	member	#8VP2829R0
tesctolino	member	#PJVGPCLY
QLS|Don	member	#GGV98LQJ
Niky Dama07	member	#PJGVGJYR
MNF Ita/Maui	member	#2280P9C98
SUPERPIATTI07	member	#YP028Y9L
camuz	member	#8QLC29YL
QLS|ice king	member	#29UYVVR2L
Elliot	member	#RY9QGQ2Q
xXLucaXx	member	#2228J028
|GALACTIK•KID|	member	#UV02CQQC
QLS|GXDragonix™	member	#RUYLLC0Q
GX peppe	member	#2QCGUYVGG
GX Dennis	member	#VPJ2QUR8
roby	member	#C0JJUY2
Vink	member	#UJ8Y9YGG
QLS|Pietro✈	member	#20P2G8U8
davide	member	#G2VR8YJR
QLS|Iron Fist⚡	member	#22JYGC8UC
Tio	member	#2R9C8GQP
nicobaro01	member	#GCJQ08JY
GX Carote	member	#P0CVJJP0G
OP|LordEscanor	member	#98VPCUYP
GIUMI	member	#2UJ2VLVJ
x distruttore x	member	#G2V2L0P
ML|NØt Sebâ9⚽️	member	#2R2YJYQYR
P. DUDUDABOAAS™	member	#2LLUPG2PP
ChRiGuA06	member	#R9UQ9CPJ
Galletto Killer	member	#QU0LQCUU
Mike™	member	#2LYQQ9JQL
GX NICO BARBO	member	#QR8P0JC2
DarkͥGoͣdͫツ	member	#GRCPYJCQ
$scarface$	member	#L0Y8CVU9
GX PINGUINO	member	#QQGYL08Q
ERIUS06	member	#2PJ00CL02
❄️SD|Fede_ITA❄️	member	#PJLU88JY
Ohh Tody	member	#YLUYLUV2
Alfredo	member	#YGYC0RU
QLS|Fabbo	member	#2J9R9U0JP
QLS|EMINENZA⚜	member	#2JQGGR90J
Lucry	member	#8JCYGPVV
GX Edward	member	#8UL82PLPG
